metric,rank,method,value
aubc,1,full,13399.392458098759
aubc,2,dense_reward,11821.465305373807
aubc,3,hybrid_reward,11064.22175215596
aubc,4,mpage_orig,7322.699791038945
hv_final,1,full,18864.473998623725
hv_final,2,hybrid_reward,16242.729783579867
hv_final,3,dense_reward,16223.939464623472
hv_final,4,mpage_orig,14386.82140386351
valid_count,1,mpage_orig,5.2
valid_count,2,hybrid_reward,4.4
valid_count,3,full,4.2
valid_count,4,dense_reward,4.2
valid_yield_per_100_calls,1,mpage_orig,20.8
valid_yield_per_100_calls,2,hybrid_reward,17.6
valid_yield_per_100_calls,3,full,16.8
valid_yield_per_100_calls,4,dense_reward,16.8
