metric,row_method,full_wins,full_ties,full_losses,full,full_old_wins,full_old_ties,full_old_losses,full_old,mpage_orig_wins,mpage_orig_ties,mpage_orig_losses,mpage_orig,dense_reward_wins,dense_reward_ties,dense_reward_losses,dense_reward,hybrid_reward_wins,hybrid_reward_ties,hybrid_reward_losses,hybrid_reward
aubc,full,0,16,0,0/16,8,0,8,8/16,15,0,1,15/16,9,0,7,9/16,10,0,6,10/16
aubc,full_old,8,0,8,8/16,0,16,0,0/16,15,0,1,15/16,7,0,9,7/16,7,0,9,7/16
aubc,mpage_orig,1,0,15,1/16,1,0,15,1/16,0,16,0,0/16,0,0,16,0/16,0,0,16,0/16
aubc,dense_reward,7,0,9,7/16,9,0,7,9/16,16,0,0,16/16,0,16,0,0/16,9,0,7,9/16
aubc,hybrid_reward,6,0,10,6/16,9,0,7,9/16,16,0,0,16/16,7,0,9,7/16,0,16,0,0/16
hv_final,full,0,16,0,0/16,13,0,3,13/16,13,0,3,13/16,10,0,6,10/16,11,0,5,11/16
hv_final,full_old,3,0,13,3/16,0,16,0,0/16,10,0,6,10/16,5,0,11,5/16,6,0,10,6/16
hv_final,mpage_orig,3,0,13,3/16,6,0,10,6/16,0,16,0,0/16,5,0,11,5/16,5,0,11,5/16
hv_final,dense_reward,6,0,10,6/16,11,0,5,11/16,11,0,5,11/16,0,16,0,0/16,7,0,9,7/16
hv_final,hybrid_reward,5,0,11,5/16,10,0,6,10/16,11,0,5,11/16,9,0,7,9/16,0,16,0,0/16
valid_yield_per_100_calls,full,0,16,0,0/16,7,1,8,7/16,10,3,3,10/16,8,1,7,8/16,5,1,10,5/16
valid_yield_per_100_calls,full_old,8,1,7,8/16,0,16,0,0/16,10,1,5,10/16,7,3,6,7/16,3,2,11,3/16
valid_yield_per_100_calls,mpage_orig,3,3,10,3/16,5,1,10,5/16,0,16,0,0/16,6,0,10,6/16,3,0,13,3/16
valid_yield_per_100_calls,dense_reward,7,1,8,7/16,6,3,7,6/16,10,0,6,10/16,0,16,0,0/16,3,1,12,3/16
valid_yield_per_100_calls,hybrid_reward,10,1,5,10/16,11,2,3,11/16,13,0,3,13/16,12,1,3,12/16,0,16,0,0/16
invalid_null_proxy_rate,full,0,16,0,0/16,7,0,9,7/16,0,0,16,0/16,8,0,8,8/16,5,0,11,5/16
invalid_null_proxy_rate,full_old,9,0,7,9/16,0,16,0,0/16,0,0,16,0/16,10,0,6,10/16,4,0,12,4/16
invalid_null_proxy_rate,mpage_orig,16,0,0,16/16,16,0,0,16/16,0,16,0,0/16,16,0,0,16/16,16,0,0,16/16
invalid_null_proxy_rate,dense_reward,8,0,8,8/16,6,0,10,6/16,0,0,16,0/16,0,16,0,0/16,4,0,12,4/16
invalid_null_proxy_rate,hybrid_reward,11,0,5,11/16,12,0,4,12/16,0,0,16,0/16,12,0,4,12/16,0,16,0,0/16
