comparator,task,metric,n_cells,positive_cells,seed_wins,seed_losses,mean_delta_pct
dense_reward,bi_cvrp,aubc,4,2,9,11,9.273787491831465
dense_reward,bi_cvrp,hv_final,4,2,13,7,5.1345351635994625
dense_reward,bi_kp,aubc,4,2,12,8,5.10606868599261
dense_reward,bi_kp,hv_final,4,2,9,11,1.0959428316049873
dense_reward,bi_tsp,aubc,4,3,10,10,1.189502560393374
dense_reward,bi_tsp,hv_final,4,2,11,9,0.4864370795987616
dense_reward,tri_tsp,aubc,4,2,10,10,-1.514492188155156
dense_reward,tri_tsp,hv_final,4,4,15,5,0.2401497381499862
full_old,bi_cvrp,aubc,4,2,13,7,3.170104958774245
full_old,bi_cvrp,hv_final,4,4,12,8,8.756177780447066
full_old,bi_kp,aubc,4,3,9,11,11.944758203366394
full_old,bi_kp,hv_final,4,3,9,11,21.284207634423012
full_old,bi_tsp,aubc,4,2,9,11,-0.2816289188231458
full_old,bi_tsp,hv_final,4,2,11,9,0.32933793343776496
full_old,tri_tsp,aubc,4,1,8,12,-1.3135051736537755
full_old,tri_tsp,hv_final,4,4,13,7,0.2362079673137396
hybrid_reward,bi_cvrp,aubc,4,2,12,8,2.542754442483166
hybrid_reward,bi_cvrp,hv_final,4,4,13,7,6.788403538049764
hybrid_reward,bi_kp,aubc,4,3,12,8,0.2852390874574977
hybrid_reward,bi_kp,hv_final,4,1,9,11,-6.747266480025869
hybrid_reward,bi_tsp,aubc,4,4,13,7,1.3895782256439115
hybrid_reward,bi_tsp,hv_final,4,3,11,9,0.7363184608553952
hybrid_reward,tri_tsp,aubc,4,1,9,11,-2.3770375464936433
hybrid_reward,tri_tsp,hv_final,4,3,11,9,0.1332357170726023
mpage_orig,bi_cvrp,aubc,4,4,19,1,51.70255653968053
mpage_orig,bi_cvrp,hv_final,4,4,12,8,14.393042616925767
mpage_orig,bi_kp,aubc,4,3,15,5,27.5601031933779
mpage_orig,bi_kp,hv_final,4,4,12,8,17.611541871517083
mpage_orig,bi_tsp,aubc,4,4,20,0,12.63599215035494
mpage_orig,bi_tsp,hv_final,4,1,9,11,-0.04351136170160641
mpage_orig,tri_tsp,aubc,4,4,19,1,28.49292786601867
mpage_orig,tri_tsp,hv_final,4,4,13,7,0.2045397758835943
